date,Infections,Recovery,Deaths,daily deaths,daily infection,daily recover
12.03.2020,0,0,0,0,0,0
13.03.2020,0,0,0,0,0,0
14.03.2020,0,0,0,0,0,0
15.03.2020,0,0,0,0,0,0
16.03.2020,0,0,0,0,0,0
17.03.2020,0,0,0,0,0,0
18.03.2020,0,0,0,0,0,0
19.03.2020,0,0,0,0,0,0
20.03.2020,0,0,0,0,0,0
21.03.2020,1,0,0,0,1,0
22.03.2020,1,0,0,0,0,0
23.03.2020,1,0,0,0,0,0
24.03.2020,1,0,0,0,0,0
25.03.2020,2,0,0,0,1,0
26.03.2020,5,0,0,0,3,0
27.03.2020,5,0,0,0,0,0
28.03.2020,9,0,0,0,4,0
29.03.2020,12,0,0,0,3,0
30.03.2020,14,0,0,0,2,0
31.03.2020,14,0,0,0,0,0
01.04.2020,21,0,0,0,7,0
02.04.2020,21,2,0,0,0,2
03.04.2020,23,2,0,0,2,0
04.04.2020,26,2,0,0,3,0
05.04.2020,27,2,0,0,1,0
06.04.2020,31,2,0,0,4,0
07.04.2020,32,4,0,0,1,2
08.04.2020,32,4,0,0,0,0
09.04.2020,34,6,0,0,2,2
10.04.2020,34,10,0,0,0,4
11.04.2020,40,10,0,0,6,0
12.04.2020,40,11,0,0,0,1
13.04.2020,43,12,0,0,3,1
14.04.2020,48,12,0,0,5,0
15.04.2020,51,13,0,0,3,1
16.04.2020,53,22,0,0,2,9
17.04.2020,57,26,0,0,4,4
18.04.2020,61,29,0,0,4,3
19.04.2020,68,33,0,0,7,4
20.04.2020,78,35,0,0,10,2
21.04.2020,92,35,0,0,14,0
22.04.2020,102,38,0,0,10,3
23.04.2020,111,38,0,0,9,0
24.04.2020,168,43,0,0,57,5
25.04.2020,240,45,0,0,72,2
26.04.2020,302,47,0,0,62,2
27.04.2020,360,47,0,0,58,0
28.04.2020,408,47,0,0,48,0
29.04.2020,427,49,1,1,19,2
30.04.2020,494,54,1,0,67,5
01.05.2020,538,57,1,0,44,3
02.05.2020,568,66,2,1,30,9
03.05.2020,631,69,2,0,63,3
04.05.2020,682,74,3,1,51,5
05.05.2020,768,96,3,0,86,22
06.05.2020,812,111,3,0,44,15
07.05.2020,839,124,3,0,27,13
08.05.2020,881,148,3,0,42,24
09.05.2020,951,188,3,0,70,40
10.05.2020,1041,249,4,1,90,61
11.05.2020,1118,263,4,0,77,14
12.05.2020,1212,301,4,0,94,38
13.05.2020,1263,311,4,0,51,10
14.05.2020,1307,360,5,1,44,49
15.05.2020,1407,438,6,1,100,78
16.05.2020,1476,496,6,0,69,58
17.05.2020,1574,543,6,0,98,47
18.05.2020,1659,564,6,0,85,21
19.05.2020,1755,593,9,3,96,29
20.05.2020,1829,644,10,1,74,51
21.05.2020,1913,694,11,1,84,50
22.05.2020,1993,725,11,0,80,31
23.05.2020,2073,754,11,0,80,29
24.05.2020,2135,819,12,1,62,65
25.05.2020,2180,907,12,0,45,88
26.05.2020,2216,924,13,1,36,17
27.05.2020,2286,988,13,0,70,64
28.05.2020,2368,1057,14,1,82,69
29.05.2020,2509,1106,15,1,141,49
30.05.2020,2659,1180,16,1,150,74
31.05.2020,2795,1258,16,0,136,78
01.06.2020,2929,1323,18,2,134,65
02.06.2020,3042,1336,19,1,113,13
03.06.2020,3150,1394,20,1,108,58
04.06.2020,3263,1479,21,1,113,85
05.06.2020,3371,1540,23,2,108,61
06.06.2020,3499,1651,26,3,128,111
07.06.2020,3614,1721,28,2,115,70
08.06.2020,3737,1801,31,3,123,80
09.06.2020,3880,1867,33,2,143,66
10.06.2020,4015,1967,37,4,135,100
11.06.2020,4130,2099,37,0,115,132
12.06.2020,4221,2187,37,0,91,88
13.06.2020,4341,2309,40,3,120,122
14.06.2020,4482,2399,43,3,141,90
15.06.2020,4651,2434,47,4,169,35
16.06.2020,4822,2463,47,0,171,29
17.06.2020,4958,2560,47,0,136,97
18.06.2020,5125,2600,51,4,167,40
19.06.2020,5291,2640,60,9,166,40
20.06.2020,5467,2888,61,1,176,248
21.06.2020,5649,2928,61,0,182,40
22.06.2020,5825,2955,62,1,176,27
23.06.2020,6083,3015,70,8,258,60
24.06.2020,6268,3343,70,0,185,328
25.06.2020,6442,3500,70,0,174,157
26.06.2020,6602,3500,88,18,160,0
27.06.2020,6760,3560,88,0,158,60
28.06.2020,6912,3615,88,0,152,55
29.06.2020,7058,3675,88,0,146,60
30.06.2020,7202,3700,88,0,144,25
01.07.2020,7339,3770,88,0,137,70
02.07.2020,7473,3830,88,0,134,60
03.07.2020,7602,3900,88,0,129,70
04.07.2020,7730,3985,88,0,128,85
05.07.2020,7861,4122,88,0,131,137
06.07.2020,7989,4150,88,0,128,28
07.07.2020,8127,4281,88,0,138,131
08.07.2020,8262,4380,88,0,135,99
09.07.2020,8391,4652,88,0,129,272
10.07.2020,8520,4747,88,0,129,95
11.07.2020,8649,4877,88,0,129,130
12.07.2020,8768,4938,88,0,119,61
13.07.2020,8900,5039,88,0,132,101
14.07.2020,9032,5112,88,0,132,73
15.07.2020,9164,5212,88,0,132,100
16.07.2020,9289,5282,88,0,125,70
17.07.2020,9420,5282,88,0,131,0
18.07.2020,9552,5369,88,0,132,87
19.07.2020,9682,5404,88,0,130,35
20.07.2020,9816,5440,88,0,134,36
21.07.2020,9946,5622,88,0,130,182
22.07.2020,10078,5774,89,1,132,152
23.07.2020,10208,5890,89,0,130,116
24.07.2020,10329,5997,89,0,121,107
25.07.2020,10453,6130,90,1,124,133
26.07.2020,10584,6157,90,0,131,27
27.07.2020,10712,6160,90,0,128,3
28.07.2020,10836,6257,91,1,124,97
29.07.2020,10961,6318,92,1,125,61
30.07.2020,11080,6435,92,0,119,117
31.07.2020,11197,6686,93,1,117,251
01.08.2020,11307,6833,94,1,110,147
02.08.2020,11416,6891,94,0,109,58
03.08.2020,11523,6894,94,0,107,3
04.08.2020,11628,7064,94,0,105,170
05.08.2020,11731,7206,95,1,103,142
06.08.2020,11823,7347,95,0,92,141
07.08.2020,11912,7467,95,0,89,120
08.08.2020,11999,7586,95,0,87,119
09.08.2020,12093,7615,95,0,94,29
10.08.2020,12176,7693,95,0,83,78
11.08.2020,12261,7701,96,1,85,8
12.08.2020,12349,7829,98,2,88,128
13.08.2020,12433,7931,98,0,84,102
14.08.2020,12513,8036,99,1,80,105
15.08.2020,12589,8134,99,0,76,98
16.08.2020,12668,8238,99,0,79,104
17.08.2020,12737,8241,99,0,69,3
18.08.2020,12804,8368,101,2,67,127
19.08.2020,12875,8480,101,0,71,112
20.08.2020,12946,8617,101,0,71,137
21.08.2020,13019,8682,102,1,73,65
22.08.2020,13090,8817,103,1,71,135
23.08.2020,13160,8916,103,0,70,99
24.08.2020,13219,8917,103,0,59,1
25.08.2020,13289,9001,103,0,70,84
26.08.2020,13351,9110,103,0,62,109
27.08.2020,13420,9203,104,1,69,93
28.08.2020,13488,9286,104,0,68,83
29.08.2020,13558,9374,104,0,70,88
30.08.2020,13620,9383,104,0,62,9
31.08.2020,13682,9389,104,0,62,6
01.09.2020,13753,9462,104,0,71,73
02.09.2020,13826,9553,105,1,73,91
03.09.2020,13877,9616,108,3,51,63
04.09.2020,13934,9707,108,0,57,91
05.09.2020,14000,9793,108,0,66,86
06.09.2020,14063,9816,108,0,63,23
07.09.2020,14122,9817,108,0,59,1
08.09.2020,14187,9848,108,0,65,31
09.09.2020,14249,10042,109,1,62,194
10.09.2020,14318,10157,109,0,69,115
11.09.2020,14384,10324,111,2,66,167
